temperature,current,voltage,vibration,label
70.98,7.67,210.31,0.36,0.0
64.23,8.29,206.96,0.32,0.0
62.95,9.02,195.24,0.31,0.0
107.07,17.12,153.71,0.88,1.0
67.37,7.84,191.58,0.38,0.0
66.95,7.91,203.8,0.22,0.0
65.69,8.74,194.0,0.33,0.0
65.47,7.93,210.15,0.41,0.0
66.7,8.09,204.83,0.29,0.0
67.61,8.12,205.47,0.23,0.0
66.22,9.59,196.15,0.28,0.0
71.17,8.24,201.77,0.28,0.0
67.11,8.8,199.36,0.32,0.0
71.06,7.41,212.62,0.37,0.0
68.3,9.19,198.29,0.43,0.0
64.68,7.3,202.09,0.35,0.0
63.91,9.35,211.55,0.36,0.0
72.15,8.33,208.49,0.26,0.0
69.96,9.59,196.14,0.22,0.0
62.97,9.11,202.65,0.42,0.0
71.89,6.9,208.09,0.45,0.0
74.03,7.72,205.22,0.45,0.0
65.45,8.9,219.62,0.37,0.0
65.06,8.21,194.29,0.21,0.0
67.05,7.84,198.48,0.29,0.0
64.78,8.49,208.13,0.38,0.0
63.49,9.08,200.05,0.3,0.0
53.48,8.12,189.08,0.28,0.0
71.72,7.19,193.48,0.24,0.0
66.88,9.89,207.03,0.36,0.0
70.81,9.47,212.7,0.34,0.0
68.67,8.76,210.87,0.31,0.0
69.56,7.8,192.52,0.27,0.0
64.82,8.25,208.6,0.28,0.0
74.59,9.61,207.27,0.18,0.0
62.13,7.33,210.93,0.3,0.0
75.75,7.78,199.1,0.31,0.0
70.74,9.57,201.34,0.36,0.0
74.66,8.21,210.47,0.36,0.0
64.82,8.64,209.03,0.22,0.0
65.47,8.31,198.55,0.22,0.0
55.8,8.65,198.79,0.33,0.0
65.69,8.82,200.63,0.34,0.0
70.81,9.19,207.88,0.26,0.0
61.4,8.23,199.68,0.42,0.0
60.54,8.25,204.88,0.34,0.0
62.51,9.21,201.83,0.36,0.0
66.16,7.55,206.89,0.36,0.0
63.75,9.12,194.94,0.26,0.0
61.51,8.14,200.57,0.39,0.0
67.87,9.13,194.01,0.3,0.0
64.64,9.64,211.69,0.24,0.0
67.19,9.1,201.54,0.19,0.0
62.36,7.7,204.57,0.25,0.0
70.6,9.29,207.1,0.27,0.0
69.84,8.95,200.46,0.39,0.0
63.37,8.62,213.5,0.31,0.0
67.55,8.35,200.33,0.23,0.0
70.14,7.81,198.11,0.24,0.0
64.16,8.24,217.35,0.24,0.0
67.44,8.28,210.67,0.38,0.0
59.88,7.94,214.88,0.3,0.0
67.98,8.0,204.54,0.26,0.0
60.96,8.55,211.32,0.31,0.0
71.17,8.93,201.89,0.29,0.0
68.09,7.75,204.97,0.31,0.0
69.06,7.71,195.71,0.33,0.0
63.83,9.35,201.98,0.33,0.0
64.16,8.04,204.57,0.31,0.0
69.25,7.34,199.0,0.31,0.0
63.62,8.01,184.34,0.3,0.0
78.14,7.75,195.93,0.33,0.0
100.18,14.91,185.61,0.92,1.0
69.6,7.68,200.44,0.2,0.0
70.81,8.97,197.66,0.39,0.0
68.61,9.68,210.61,0.46,0.0
100.22,18.5,199.1,0.88,1.0
65.19,8.33,194.11,0.26,0.0
66.02,8.13,208.31,0.32,0.0
65.07,7.16,200.5,0.14,0.0
65.61,8.28,202.84,0.33,0.0
66.8,7.93,207.33,0.51,0.0
61.11,8.98,206.92,0.26,0.0
63.09,7.48,196.2,0.27,0.0
66.58,9.63,201.49,0.24,0.0
103.69,18.22,211.7,0.92,1.0
72.22,7.58,204.13,0.25,0.0
63.17,6.49,208.0,0.33,0.0
70.84,6.43,203.44,0.33,0.0
70.18,8.45,192.37,0.3,0.0
68.3,9.35,197.36,0.26,0.0
73.04,9.01,205.77,0.34,0.0
74.6,7.95,202.48,0.37,0.0
68.53,8.76,204.86,0.31,0.0
58.03,7.75,200.98,0.31,0.0
67.38,7.62,202.17,0.3,0.0
66.56,8.91,204.62,0.35,0.0
59.92,9.28,199.89,0.24,0.0
72.98,6.97,200.47,0.22,0.0
63.9,8.32,183.65,0.43,0.0
63.35,9.16,213.44,0.22,0.0
60.33,7.27,200.7,0.31,0.0
65.52,8.87,198.72,0.34,0.0
64.81,7.54,199.41,0.46,0.0
74.49,8.53,201.99,0.28,0.0
66.93,7.88,199.59,0.35,0.0
69.94,8.87,210.15,0.28,0.0
103.29,20.63,178.46,0.97,1.0
61.12,7.45,206.03,0.28,0.0
67.62,7.24,198.7,0.35,0.0
62.86,7.39,203.22,0.29,0.0
65.23,9.48,209.46,0.3,0.0
104.31,18.07,171.46,0.87,1.0
62.14,8.82,195.17,0.4,0.0
61.51,7.79,214.47,0.37,0.0
65.19,7.77,193.46,0.3,0.0
65.55,7.76,198.03,0.38,0.0
63.81,9.13,209.55,0.28,0.0
58.09,8.72,203.48,0.34,0.0
69.83,7.87,199.91,0.23,0.0
68.47,7.69,202.73,0.28,0.0
73.06,8.69,205.74,0.38,0.0
69.83,9.15,212.68,0.32,0.0
77.6,9.6,200.22,0.29,0.0
68.0,9.36,208.92,0.39,0.0
104.41,15.72,175.5,0.78,1.0
61.89,5.99,195.12,0.37,0.0
67.22,7.07,200.12,0.23,0.0
66.15,7.67,194.25,0.24,0.0
74.82,8.52,202.98,0.23,0.0
69.99,7.44,203.05,0.18,0.0
66.79,8.67,205.13,0.29,0.0
68.74,6.95,195.71,0.23,0.0
67.35,7.36,191.45,0.33,0.0
65.13,8.34,199.78,0.29,0.0
66.2,8.11,205.08,0.42,0.0
61.41,8.84,200.66,0.33,0.0
72.06,7.31,195.36,0.22,0.0
58.03,7.38,199.88,0.29,0.0
65.14,8.45,197.63,0.32,0.0
65.14,8.23,192.96,0.25,0.0
72.82,8.27,194.81,0.31,0.0
66.43,9.21,211.47,0.41,0.0
67.84,8.53,202.63,0.27,0.0
105.58,18.03,184.64,0.88,1.0
64.04,9.15,212.6,0.26,0.0
102.57,17.5,163.15,0.78,1.0
67.88,9.11,213.0,0.35,0.0
67.93,8.32,209.28,0.23,0.0
66.1,8.37,207.35,0.41,0.0
59.88,8.61,193.85,0.4,0.0
68.21,9.83,210.52,0.31,0.0
68.34,9.58,202.37,0.39,0.0
71.37,6.74,190.06,0.24,0.0
62.26,8.7,212.47,0.21,0.0
64.34,8.45,199.91,0.33,0.0
67.1,6.99,204.05,0.38,0.0
68.79,7.69,214.07,0.33,0.0
63.15,7.77,205.19,0.27,0.0
74.18,9.25,217.96,0.32,0.0
65.09,8.37,217.03,0.4,0.0
66.9,8.95,196.92,0.31,0.0
75.31,6.61,204.62,0.44,0.0
74.81,7.93,212.17,0.35,0.0
62.79,7.81,203.23,0.33,0.0
66.33,9.27,199.16,0.4,0.0
65.03,7.39,208.72,0.32,0.0
68.5,8.59,200.25,0.32,0.0
57.53,9.33,198.59,0.21,0.0
105.27,15.83,155.31,0.86,1.0
107.47,13.63,209.67,0.8,1.0
55.57,7.95,198.1,0.24,0.0
62.98,9.62,206.76,0.28,0.0
66.94,7.45,216.91,0.34,0.0
63.11,9.43,199.93,0.29,0.0
56.71,7.8,201.69,0.36,0.0
68.09,9.01,200.89,0.47,0.0
57.9,8.84,208.18,0.24,0.0
74.34,6.07,205.8,0.26,0.0
64.37,8.86,198.83,0.3,0.0
65.58,8.48,206.85,0.27,0.0
72.56,9.35,209.08,0.32,0.0
60.31,8.39,191.46,0.43,0.0
61.75,7.49,205.26,0.24,0.0
66.99,8.16,195.88,0.34,0.0
101.58,19.52,185.21,0.89,1.0
68.54,7.69,207.13,0.29,0.0
58.73,10.23,209.64,0.28,0.0
62.58,8.32,191.9,0.37,0.0
70.44,8.77,202.86,0.42,0.0
64.8,8.54,196.56,0.22,0.0
64.95,8.24,200.26,0.35,0.0
100.04,18.23,186.16,0.84,1.0
67.83,8.5,198.71,0.25,0.0
70.46,8.59,192.24,0.43,0.0
109.56,18.23,160.42,0.97,1.0
61.81,8.2,199.0,0.32,0.0
62.04,8.04,196.38,0.3,0.0
66.58,9.17,203.93,0.31,0.0
107.18,17.47,165.93,0.9,1.0
66.83,8.03,201.73,0.31,0.0
68.62,8.5,202.32,0.35,0.0
71.18,9.83,215.87,0.27,0.0
67.7,8.01,199.5,0.4,0.0
65.98,8.97,204.71,0.37,0.0
100.09,19.39,192.69,0.8,1.0
70.09,8.83,207.57,0.16,0.0
60.88,7.82,207.35,0.42,0.0
63.22,9.08,200.11,0.34,0.0
69.74,7.93,205.52,0.24,0.0
70.91,7.16,212.37,0.18,0.0
70.63,6.29,203.82,0.33,0.0
67.32,8.22,194.66,0.32,0.0
64.26,7.23,205.48,0.39,0.0
72.06,8.19,200.52,0.24,0.0
66.59,6.44,206.91,0.24,0.0
71.39,8.58,210.32,0.25,0.0
109.41,15.77,204.15,0.75,1.0
68.09,7.09,206.17,0.33,0.0
69.04,8.29,210.82,0.36,0.0
70.45,7.97,205.73,0.2,0.0
62.17,9.47,208.74,0.43,0.0
71.14,8.12,206.6,0.26,0.0
60.66,8.67,201.38,0.31,0.0
61.89,9.42,197.28,0.26,0.0
65.99,7.56,207.1,0.24,0.0
62.73,9.19,214.85,0.35,0.0
69.47,9.71,197.29,0.38,0.0
76.48,7.94,217.74,0.31,0.0
64.43,7.84,205.61,0.33,0.0
66.2,8.48,201.44,0.32,0.0
65.69,6.82,194.78,0.22,0.0
60.59,7.85,188.29,0.25,0.0
67.83,8.12,207.56,0.26,0.0
72.06,8.18,208.81,0.33,0.0
61.49,8.99,202.53,0.38,0.0
64.35,8.1,205.04,0.32,0.0
72.73,8.18,201.44,0.27,0.0
68.15,9.09,213.53,0.31,0.0
63.98,7.78,195.95,0.32,0.0
59.64,7.94,211.35,0.17,0.0
66.95,8.04,198.6,0.25,0.0
57.45,7.13,198.33,0.32,0.0
67.25,7.48,192.49,0.32,0.0
67.56,7.6,202.1,0.31,0.0
67.89,8.43,206.91,0.32,0.0
66.81,6.95,203.52,0.24,0.0
61.96,6.93,197.02,0.32,0.0
66.65,8.76,207.38,0.36,0.0
69.56,7.72,202.31,0.39,0.0
63.86,6.81,199.09,0.22,0.0
61.52,7.16,196.94,0.39,0.0
66.87,7.86,196.5,0.2,0.0
63.67,7.84,193.58,0.37,0.0
65.37,9.24,198.84,0.28,0.0
68.46,8.88,210.72,0.32,0.0
72.53,7.44,208.41,0.32,0.0
70.56,8.64,215.13,0.24,0.0
105.97,16.82,164.9,0.99,1.0
68.47,9.03,205.56,0.41,0.0
54.29,9.24,201.9,0.56,0.0
65.23,8.92,204.52,0.33,0.0
70.3,7.21,204.69,0.38,0.0
70.72,7.99,216.1,0.31,0.0
68.39,7.47,203.41,0.24,0.0
57.94,8.59,203.56,0.37,0.0
67.16,6.12,202.36,0.29,0.0
61.4,6.93,202.79,0.24,0.0
67.47,7.93,208.37,0.39,0.0
65.57,7.62,196.96,0.3,0.0
53.2,9.57,204.05,0.27,0.0
104.31,20.74,174.84,0.9,1.0
68.9,7.98,199.79,0.41,0.0
61.23,8.31,199.05,0.16,0.0
72.15,9.77,220.64,0.32,0.0
63.03,9.6,202.16,0.34,0.0
67.33,9.3,210.97,0.2,0.0
65.16,6.85,204.36,0.38,0.0
68.17,9.94,202.88,0.39,0.0
67.79,7.98,195.97,0.37,0.0
68.64,10.18,206.75,0.44,0.0
65.65,8.18,210.99,0.29,0.0
76.68,8.5,212.48,0.31,0.0
66.03,8.19,205.03,0.39,0.0
57.79,8.8,204.58,0.31,0.0
65.99,8.83,198.02,0.24,0.0
74.64,7.62,210.29,0.29,0.0
104.59,20.67,148.53,0.91,1.0
59.45,7.53,200.22,0.25,0.0
73.21,7.72,211.77,0.28,0.0
68.93,6.89,203.93,0.25,0.0
71.7,8.03,192.9,0.18,0.0
71.51,8.48,203.42,0.3,0.0
66.55,8.52,199.78,0.3,0.0
60.84,9.18,194.34,0.27,0.0
68.69,8.52,199.22,0.36,0.0
64.06,9.18,206.75,0.47,0.0
111.16,18.59,178.3,0.83,1.0
64.84,8.51,199.17,0.42,0.0
105.24,15.11,177.11,0.97,1.0
65.26,8.12,199.18,0.27,0.0
70.95,7.57,207.34,0.24,0.0
58.93,8.27,195.07,0.35,0.0
61.58,6.99,210.14,0.24,0.0
65.2,8.66,203.84,0.24,0.0
62.01,8.37,204.45,0.35,0.0
66.68,7.84,203.88,0.27,0.0
110.86,18.08,164.26,0.94,1.0
69.39,7.91,201.91,0.3,0.0
67.35,8.35,201.98,0.38,0.0
111.71,17.24,211.75,0.89,1.0
68.86,10.09,209.23,0.35,0.0
104.06,15.35,161.45,0.86,1.0
62.36,8.84,201.81,0.28,0.0
58.42,7.9,207.66,0.31,0.0
69.37,7.82,208.74,0.4,0.0
62.5,7.29,201.5,0.33,0.0
51.9,9.45,214.07,0.39,0.0
100.95,16.94,248.62,0.76,1.0
63.29,8.31,201.21,0.35,0.0
60.2,8.53,205.63,0.41,0.0
102.18,15.73,151.2,0.92,1.0
102.95,16.97,135.7,0.79,1.0
66.7,8.91,206.27,0.28,0.0
69.09,6.69,208.41,0.44,0.0
106.69,18.5,237.71,0.96,1.0
71.92,7.46,205.13,0.28,0.0
62.22,9.48,218.05,0.27,0.0
66.89,8.63,208.3,0.37,0.0
105.5,18.66,206.93,0.78,1.0
64.27,7.99,201.99,0.31,0.0
61.87,8.93,218.55,0.34,0.0
65.1,8.39,204.84,0.38,0.0
65.16,6.76,188.61,0.4,0.0
60.79,9.55,200.7,0.28,0.0
67.42,7.6,199.33,0.19,0.0
62.24,7.82,194.56,0.32,0.0
60.06,9.11,197.14,0.39,0.0
62.02,6.71,204.36,0.35,0.0
71.67,10.6,205.38,0.33,0.0
66.1,7.09,191.76,0.4,0.0
63.07,7.73,197.91,0.27,0.0
61.79,7.12,206.87,0.46,0.0
67.02,8.41,208.12,0.34,0.0
67.31,7.6,194.92,0.32,0.0
64.17,7.03,207.48,0.18,0.0
113.59,18.31,217.05,0.88,1.0
63.56,7.45,198.71,0.32,0.0
71.36,8.09,190.69,0.16,0.0
68.21,7.28,196.75,0.24,0.0
63.25,8.23,210.97,0.3,0.0
69.32,8.76,199.38,0.28,0.0
68.32,8.28,200.16,0.33,0.0
69.59,8.03,203.49,0.34,0.0
107.12,17.57,211.18,0.98,1.0
70.33,8.53,201.65,0.2,0.0
64.63,8.39,207.87,0.3,0.0
67.05,7.97,209.18,0.19,0.0
60.73,8.09,200.13,0.3,0.0
73.59,8.85,217.06,0.31,0.0
67.55,7.84,201.7,0.31,0.0
73.22,8.65,198.07,0.37,0.0
62.11,8.41,196.99,0.36,0.0
66.65,8.09,202.66,0.35,0.0
105.78,15.35,164.81,0.95,1.0
61.18,9.43,201.42,0.23,0.0
66.35,8.69,200.17,0.34,0.0
66.53,8.75,210.79,0.36,0.0
104.33,20.95,176.39,0.83,1.0
59.38,8.24,207.91,0.22,0.0
60.2,7.58,202.75,0.32,0.0
59.4,9.97,201.63,0.24,0.0
59.59,7.9,198.01,0.32,0.0
67.98,8.36,194.83,0.2,0.0
66.44,6.24,207.17,0.28,0.0
58.69,8.65,190.76,0.43,0.0
69.18,9.15,194.27,0.41,0.0
55.1,8.14,215.07,0.42,0.0
68.92,7.68,197.82,0.35,0.0
70.96,8.98,202.05,0.22,0.0
71.4,8.62,197.05,0.24,0.0
63.08,7.76,204.13,0.36,0.0
67.87,7.72,187.37,0.19,0.0
60.59,7.85,206.46,0.16,0.0
70.18,9.91,207.43,0.43,0.0
67.31,9.45,203.85,0.39,0.0
66.2,9.21,202.88,0.32,0.0
69.3,7.58,201.29,0.35,0.0
66.93,8.37,197.87,0.38,0.0
67.89,7.32,212.54,0.45,0.0
100.28,18.37,208.63,0.79,1.0
69.96,7.23,200.44,0.28,0.0
65.6,7.63,211.22,0.39,0.0
67.31,7.28,207.1,0.31,0.0
66.94,7.15,208.86,0.31,0.0
61.46,9.39,198.71,0.32,0.0
58.98,8.47,216.15,0.43,0.0
57.06,9.41,195.02,0.28,0.0
54.71,6.75,203.46,0.29,0.0
66.07,8.96,205.18,0.27,0.0
72.14,7.07,203.68,0.23,0.0
67.23,9.81,202.85,0.33,0.0
65.48,8.43,207.0,0.29,0.0
63.31,7.77,202.5,0.31,0.0
66.42,9.12,200.74,0.39,0.0
74.64,8.41,201.14,0.37,0.0
69.13,9.49,207.14,0.38,0.0
68.88,9.01,199.44,0.28,0.0
65.87,8.68,205.64,0.25,0.0
56.88,8.69,194.53,0.35,0.0
63.16,7.48,208.73,0.23,0.0
106.52,16.8,218.98,0.9,1.0
65.72,7.18,211.53,0.33,0.0
60.68,8.24,199.37,0.18,0.0
64.94,9.28,199.76,0.32,0.0
67.6,7.92,198.08,0.36,0.0
54.77,7.97,218.33,0.32,0.0
67.48,7.33,194.44,0.42,0.0
63.46,7.82,207.99,0.35,0.0
67.53,8.85,202.9,0.39,0.0
65.91,9.26,212.45,0.26,0.0
74.22,8.42,200.8,0.33,0.0
65.62,8.46,194.46,0.2,0.0
70.73,7.94,204.99,0.27,0.0
69.23,9.21,198.79,0.38,0.0
53.61,10.19,197.12,0.34,0.0
62.26,9.37,196.57,0.31,0.0
68.62,8.19,199.67,0.34,0.0
63.0,8.42,209.91,0.22,0.0
72.7,7.68,207.65,0.27,0.0
66.19,7.6,194.91,0.31,0.0
68.79,8.65,209.87,0.32,0.0
66.26,9.46,200.15,0.27,0.0
74.59,9.06,209.67,0.38,0.0
108.44,21.03,168.7,0.9,1.0
64.81,7.81,204.88,0.41,0.0
67.66,9.17,219.24,0.28,0.0
80.19,8.96,202.74,0.32,0.0
76.53,8.86,204.89,0.31,0.0
64.0,8.39,212.68,0.35,0.0
62.63,9.34,199.02,0.27,0.0
68.62,8.09,200.21,0.31,0.0
65.98,8.86,208.02,0.29,0.0
68.23,9.29,215.77,0.39,0.0
69.1,6.68,205.7,0.29,0.0
69.66,9.0,205.47,0.23,0.0
75.43,9.84,194.05,0.27,0.0
71.96,8.96,201.47,0.18,0.0
63.04,8.95,201.39,0.23,0.0
61.54,8.64,197.71,0.33,0.0
68.07,8.21,195.84,0.36,0.0
61.8,6.96,198.38,0.3,0.0
68.48,7.9,209.26,0.29,0.0
69.05,7.42,212.38,0.33,0.0
65.64,8.44,204.08,0.29,0.0
64.11,9.19,212.35,0.25,0.0
68.11,7.4,197.4,0.34,0.0
65.89,9.42,208.71,0.34,0.0
78.44,8.25,200.84,0.22,0.0
62.4,9.0,204.18,0.27,0.0
69.48,8.0,198.52,0.23,0.0
67.69,7.51,203.55,0.4,0.0
70.44,7.9,208.32,0.26,0.0
68.33,7.87,203.79,0.29,0.0
63.54,7.58,197.07,0.28,0.0
103.61,17.34,185.58,1.06,1.0
68.55,7.07,207.9,0.22,0.0
110.08,20.02,193.18,0.77,1.0
71.43,7.72,207.44,0.23,0.0
66.42,7.55,203.35,0.18,0.0
66.09,9.24,211.0,0.33,0.0
110.57,18.37,201.77,0.92,1.0
56.79,8.41,208.91,0.33,0.0
69.37,8.57,200.42,0.25,0.0
68.9,10.21,202.98,0.44,0.0
104.76,20.07,170.91,0.89,1.0
68.14,8.21,199.41,0.45,0.0
66.7,7.97,209.24,0.43,0.0
64.55,7.28,203.91,0.18,0.0
68.88,8.64,207.59,0.45,0.0
64.24,7.46,210.45,0.25,0.0
103.76,15.15,234.36,0.93,1.0
65.01,6.98,199.4,0.27,0.0
100.37,18.9,194.6,0.99,1.0
59.1,8.7,214.16,0.35,0.0
68.24,9.24,202.39,0.46,0.0
66.7,6.92,198.12,0.27,0.0
62.18,8.09,207.1,0.23,0.0
63.94,8.32,210.19,0.3,0.0
60.61,7.68,199.24,0.36,0.0
62.8,7.26,202.65,0.27,0.0
76.09,8.27,202.72,0.17,0.0
70.15,7.07,192.08,0.38,0.0
110.63,18.48,181.71,0.8,1.0
70.65,9.82,215.44,0.28,0.0
61.5,8.13,193.95,0.28,0.0
65.49,9.86,195.55,0.31,0.0
76.02,7.94,206.64,0.35,0.0
70.92,9.15,214.09,0.26,0.0
69.7,9.13,209.56,0.32,0.0
61.43,8.23,206.9,0.32,0.0
73.05,9.68,197.56,0.28,0.0
66.24,8.22,205.5,0.36,0.0
67.37,8.58,212.31,0.28,0.0
64.97,8.5,200.08,0.39,0.0
65.45,7.3,210.95,0.36,0.0
65.29,7.7,205.38,0.29,0.0
64.85,7.35,208.93,0.31,0.0
62.31,5.36,200.96,0.31,0.0
65.6,8.77,214.01,0.26,0.0
60.74,7.6,205.34,0.29,0.0
61.18,8.02,205.05,0.36,0.0
69.42,9.29,200.18,0.3,0.0
65.39,8.48,202.43,0.24,0.0
70.43,7.77,203.72,0.34,0.0
74.76,9.37,201.76,0.34,0.0
62.45,9.68,213.23,0.31,0.0
60.84,8.8,206.45,0.38,0.0
66.05,8.99,199.16,0.29,0.0
70.25,8.11,200.9,0.39,0.0
65.07,6.72,205.39,0.22,0.0
70.39,8.85,212.78,0.38,0.0
70.86,9.13,193.09,0.44,0.0
64.46,8.49,207.57,0.34,0.0
62.77,7.01,198.04,0.29,0.0
63.61,7.95,203.55,0.23,0.0
